Object ID,Date,Year,Price,Log Price,Postcode,Housing Type,New Build,Number of Turbines in View,Can View Turbines?,Buffer Group,2011-2014 (1)/2014-2017(2)/2017-2020(3)
01A1E081-E230-4760-B260-91C238030573,14/09/2012,2012,250000,5.397940009,DN17 4EE,D,N,16,Yes,3,1
02FC3B2B-74ED-4101-8A0F-D64D4CDC926C,04/09/2015,2015,193000,5.285557309,DN15 8TA,D,N,16,Yes,4,2
037B8692-C495-420D-B578-08615332A106,22/03/2013,2013,150000,5.176091259,DN14 9EP,D,N,16,Yes,3,1
004E6649-1A1F-429C-BAD0-6093A1A3BC8B,25/11/2011 00:00,2011,250000,5.397940009,DN9 1GX,D,Y,,,4,1
04C4D243-CDA0-49F8-853E-6E6AFDEE731B,05/01/2011,2011,160000,5.204119983,DN17 3HA,D,N,16,Yes,4,1
0513DE74-5D9B-4537-BF34-ED8242B3DD1E,12/01/2012,2012,210000,5.322219295,DN14 8EY,D,N,16,Yes,3,1
06CC5150-46DB-44EE-AD88-ED177A966810,31/05/2012,2012,269950,5.431283332,DN14 7GP,D,Y,16,Yes,4,1
093144F9-6158-4C6B-8E53-7783F67A2113,02/04/2015,2015,148000,5.170261715,DN7 4GA,D,N,16,Yes,4,2
09BA0DF5-5C2E-4B61-941E-B5950EA932FF,28/08/2013,2013,170000,5.230448921,DN14 6JU,D,N,16,Yes,3,1
0A65574F-9AA0-4455-9F4E-1AE682970A88,14/01/2013,2013,124000,5.093421685,DN14 6YF,D,N,16,Yes,3,1
0B260813-B7A0-45C7-B807-267F4067C428,14/08/2015,2015,137500,5.138302698,DN7 5BE,D,Y,16,Yes,4,2
0CA1A093-411E-46B9-8823-6112349B758E,05/09/2014,2014,120000,5.079181246,DN17 4DL,D,N,16,Yes,3,2
0CEF9706-A07E-4554-B0B2-ED06DD529E20,21/02/2014,2014,153000,5.184691431,DN14 6WD,D,N,16,Yes,3,2
0D27F8D6-8A4C-4FB9-BCE4-5298C30738A2,05/12/2014,2014,384950,5.585404324,DN14 7BX,D,Y,16,Yes,3,2
0E626BD5-D36B-4464-8AB3-C3A5870EA162,23/12/2011,2011,250000,5.397940009,DN17 4EE,D,N,16,Yes,3,1
0EFEAE38-9F24-4C9C-A4AB-03ADBAB30BD6,29/09/2014,2014,1544000,6.188647296,DN14 7JY,D,N,16,Yes,4,2
0F3C56DE-5122-4358-808F-DFC88015212E,19/05/2011,2011,350000,5.544068044,DN14 7QX,D,N,16,Yes,4,1
1071092C-2496-4132-9522-FEE0833C69DC,20/01/2015,2015,510000,5.707570176,DN14 7BX,D,N,16,Yes,3,2
10F91F9F-A5F9-493C-8C73-C3718ED85382,12/04/2011,2011,100000,5,DN14 9EP,D,N,16,Yes,3,1
1197EA6F-7C71-4E5A-B495-71DFD9BF308B,24/05/2013,2013,241000,5.382017043,DN14 7FN,D,N,16,Yes,3,1
12CC15E3-4FD6-4AA4-AD04-6EFE299BDEAA,06/09/2013,2013,104000,5.017033339,DN15 8UR,D,N,16,Yes,4,1
14A667FB-E8A9-42FC-B825-726F52D70620,12/07/2013,2013,130000,5.113943352,DN14 6WD,D,N,16,Yes,3,1
1749AB34-7092-4812-9FB2-9DE82347C829,14/05/2013,2013,175000,5.243038049,DN15 9HA,D,N,16,Yes,4,1
18175FD9-D05D-4F29-A55D-C83629EA9B5D,16/12/2011,2011,245000,5.389166084,DN14 7GP,D,Y,16,Yes,4,1
197D9359-8F7A-4029-8B63-138C8CC8A29B,28/08/2013,2013,198000,5.29666519,DN14 6FG,D,N,16,Yes,3,1
1B5B6E8E-22EC-41A3-9716-FD520391BEFD,13/11/2014,2014,145000,5.161368002,DN7 4GA,D,Y,16,Yes,4,2
1B876493-C2E8-44E5-B221-0A49D2FECCEE,20/06/2013,2013,245000,5.389166084,DN15 8EL,D,N,16,Yes,4,1
1BBEAE99-9FD4-4AA6-B5FF-44555F305189,15/05/2015,2015,198000,5.29666519,DN17 4TF,D,N,16,Yes,3,2
1CA17F07-0F8D-4610-87D2-A234E0DCDE67,12/11/2014,2014,325000,5.511883361,DN14 7DL,D,N,16,Yes,3,2
1EF7116D-F4E4-46CF-9B1A-142149558F07,20/06/2014,2014,263000,5.419955748,DN14 7GP,D,N,16,Yes,4,2
1EFAFD33-E04C-498B-9C52-947A8E8437BD,02/05/2014,2014,194000,5.28780173,DN14 8HQ,D,N,16,Yes,3,2
1F22C62A-701F-42F4-A687-CD765CF35CF8,01/12/2014,2014,138500,5.141449773,DN17 4DL,D,N,16,Yes,3,2
216B4F08-635E-4B3B-B044-1525E7463D87,27/06/2014,2014,359950,5.556242178,DN14 7BX,D,Y,16,Yes,3,2
2172292E-DF86-48EC-BB91-1FEF4E932529,25/06/2015,2015,182000,5.260071388,DN14 6FD,D,N,16,Yes,3,2
23B6165E-5F66-FCF4-E050-A8C0620577FA,25/09/2015,2015,166000,5.220108088,DN15 9DR,D,N,16,Yes,4,2
23B6165E-6078-FCF4-E050-A8C0620577FA,05/10/2015,2015,129950,5.113776284,DN15 8UT,D,N,16,Yes,4,2
23B6165E-608F-FCF4-E050-A8C0620577FA,09/09/2015,2015,123000,5.089905111,DN15 8UT,D,N,16,Yes,4,2
23B6165F-2E03-FCF4-E050-A8C0620577FA,23/10/2015,2015,250000,5.397940009,DN14 7GU,D,N,16,Yes,4,2
23B6165F-2E49-FCF4-E050-A8C0620577FA,18/09/2015,2015,230000,5.361727836,DN14 6BH,D,Y,16,Yes,3,2
23B6165F-2E60-FCF4-E050-A8C0620577FA,25/09/2015,2015,200000,5.301029996,DN14 6BH,D,Y,16,Yes,3,2
23B6165F-2E69-FCF4-E050-A8C0620577FA,02/10/2015,2015,175000,5.243038049,DN14 6BH,D,Y,16,Yes,3,2
23B6165F-2E6C-FCF4-E050-A8C0620577FA,16/10/2015,2015,175000,5.243038049,DN14 6BH,D,Y,16,Yes,3,2
